mf_0,mf_1,mf_2,mf_3,mf_4,mf_5,mf_6,mf_7,mf_8,mf_9,mf_10,mf_11,mf_12,mf_13,mf_14,measure
6.097997,1.3778334,4.4272933,4.682934,0.7052959,4.5406995,4.9351583,5.07574,4.839251,6.0799713,4.430702,4.776946,3.684726,2.7306538,3.8449962,MCR
-1.5584604,9.109818,2.7981308,3.4246452,0.39975035,2.4059575,5.6501446,5.8416967,5.213876,6.341153,4.814693,5.418322,3.020713,2.9607332,3.9185667,BR
12.104811,6.294037,1.3763616,6.7464905,-0.005253142,4.4888654,4.647476,5.337285,4.4410186,6.122921,3.8063176,4.2717924,4.674002,2.83375,3.9022522,BR
-1.9500245,7.3507667,-0.3244817,3.1630878,0.9306722,4.4784265,3.8421514,5.933261,5.7290006,6.1855817,4.744977,5.666567,3.8993657,2.6609066,4.0883102,BR
8.990995,5.701183,1.3756304,-0.3198898,8.36024,0.3331375,4.412683,3.647162,4.4977527,6.2640886,3.4581575,5.2266793,2.8767984,3.0160077,0.82525533,MCR
-0.011595197,1.5605177,1.0116216,8.604633,2.4737062,6.1828294,6.860127,6.7260513,4.3761983,6.630552,4.540573,5.3881516,3.735593,2.7622159,4.692377,MCR
4.105789,-0.26828927,4.931399,6.490304,0.9231088,3.64761,4.7811937,5.307186,4.7781796,6.136747,4.7668157,4.5250177,3.386101,2.9708207,3.9759014,MCR
2.7448347,-0.97641325,4.2792397,7.817938,1.4644836,3.5933785,5.3283553,5.837066,4.5599213,6.3525167,4.68272,4.713941,3.4415822,2.9584785,3.6824665,BR
3.219984,-1.3749248,4.938119,7.6902814,1.2862551,3.213935,5.0277886,5.658147,4.4224606,6.1609397,4.831356,4.3951216,3.3144467,3.1157365,3.6439145,SYM
11.908783,6.898766,1.3871206,6.9147577,0.13846369,4.4727955,4.438477,5.523438,4.1100063,6.36888,4.0760446,4.06881,4.4887924,2.873872,3.7292812,BR
-1.5343627,5.2091837,-1.2755139,4.201318,1.0560846,6.264552,3.1192217,5.9474816,5.7384267,5.8960977,4.924866,5.584562,4.609478,2.6037223,4.061075,SYM
-1.8749306,7.3462763,-0.40499213,3.0815187,0.86129546,4.469789,3.7515137,5.993785,5.66654,6.1383853,4.7935457,5.6627235,3.905094,2.6671999,4.0846405,MCR
-0.11142501,1.6537735,0.973915,8.550081,2.4387455,6.244465,6.857192,6.7319593,4.385954,6.6212735,4.555156,5.385256,3.687673,2.766702,4.7073517,MCR
-1.1538086,4.6738205,-0.70230895,4.53151,1.1122224,6.0230346,3.3735604,5.9594846,5.565693,5.985644,4.8808875,5.4957767,4.5012703,2.6574504,4.0265613,BR
